group,name,shapefile,color,type
Base Map 2041,Commercial,BASE_MAP_2041_COMMERCIAL.geojson,#a6cee3,Polygon
Base Map 2041,Government,BASE_MAP_2041_GOVERNMENT.geojson,#1f78b4,MultiPolygon
Base Map 2041,Green Belt Waterbody,BASE_MAP_2041_GREEN_BELT_WATERBODY_1.geojson,#b2df8a,Polygon
Base Map 2041,Industrial,BASE_MAP_2041_INDUSTRIAL.geojson,#33a02c,Polygon
Base Map 2041,Public & Semi Public Facilities-1,BASE_MAP_2041_PSP_1.geojson,#fb9a99,Polygon
Base Map 2041,Recreational -1,BASE_MAP_2041_RECREATIONAL_1.geojson,#e31a1c,Polygon
Base Map 2041,Residential,BASE_MAP_2041_RESIDENTIAL.geojson,#fdbf6f,Polygon
Base Map 2041,Transportation - 1,BASE_MAP_2041_TRANSPORTATION_1.geojson,#ff7f00,MultiPolygon
Base Map 2041,Transportation - 2,BASE_MAP_2041_TRANSPORTATION_2.geojson,#cab2d6,MultiPolygon
Base Map 2041,Utility - 1,BASE_MAP_2041_UTILITY_1.geojson,#6a3d9a,Polygon
Base Map 2041,Utility - 2,BASE_MAP_2041_UTILITY_2.geojson,#ffff99,MultiPolygon
Extra Layers,Builtup,EXTRA_LAYERS_Builtup.geojson,#b15928,Polygon
Extra Layers,Unauthorised Colonies,EXTRA_LAYERS_Delhi_UC.geojson,#fccde5,MultiPolygon
Extra Layers,Floodplain,EXTRA_LAYERS_FLOODPLAIN.geojson,#fff123,LineString
Extra Layers,Laldora Greenbelt Void Fill,EXTRA_LAYERS_LALDORA_GREENBELT_VOID_FILL.geojson,#8dd3c7,Polygon
Extra Layers,LDRA Villages,EXTRA_LAYERS_LDRA_VILLAGE.geojson,#bebada,MultiPolygon
Road Railway Metro,Barapulla Elevated Road,ROAD_RAILWAY_METRO_LINES_Barapulla_Elevated_Road.geojson,#fb8072,LineString
Road Railway Metro,DMRC Metro Line,ROAD_RAILWAY_METRO_LINES_DMRC_Metro_Line.geojson,#80b1d3,LineString
Road Railway Metro,HSR Alignment,ROAD_RAILWAY_METRO_LINES_HSR_Alignment.geojson,#fdb462,LineString
Road Railway Metro,NH buffer,ROAD_RAILWAY_METRO_LINES_NH_buffer.geojson,#b3de69,LineString
Road Railway Metro,Railway Lines,ROAD_RAILWAY_METRO_LINES_Railway_Lines.geojson,#d53e4f,LineString
Road Railway Metro,RRTS,ROAD_RAILWAY_METRO_LINES_RRTS.geojson,#fccde5,LineString
Road Railway Metro,UER Buffer,ROAD_RAILWAY_METRO_LINES_UER_BUFFER.geojson,#d9d9d9,LineString
Boundaries,DDA Zone Boundary,Boundaries_DDA_ZONE_Boundary.geojson,#bc80bd,LineString
Boundaries,Lutyen Bungalow Zone,Boundaries_LUTYEN_BUNGALOW_ZONE.geojson,#ccebc5,LineString
Boundaries,Reserved Forest Boundary,Boundaries_RESERVED_FOREST_BOUNDARY.geojson,#66c2a5,LineString
